Cell 1,Cell 2,edge_state
87,110,1
87,119,0
92,113,0
92,115,0
92,138,0
110,113,0
110,119,0
110,138,0
110,141,0
110,144,0
113,138,0
115,126,0
115,138,0
119,128,0
119,137,0
120,128,0
120,136,0
120,147,0
126,135,0
126,138,0
126,162,0
128,137,0
128,147,0
135,156,0
135,162,0
135,166,0
136,147,0
136,152,0
136,158,0
137,141,0
137,147,0
137,157,0
137,160,1
138,144,0
138,161,1
138,162,0
138,172,0
138,176,0
138,182,1
141,144,0
141,160,0
141,161,0
141,164,0
142,152,0
142,158,0
142,167,0
144,161,0
147,157,0
147,158,0
152,158,0
156,163,1
156,166,0
156,174,0
157,158,0
157,160,0
157,168,0
158,167,0
158,168,0
158,175,0
160,164,0
160,168,0
160,171,0
161,164,0
161,172,0
162,166,0
162,176,0
162,184,0
162,188,0
163,169,0
163,174,0
164,171,0
164,172,0
164,179,0
164,183,0
166,174,0
166,188,0
166,197,0
167,175,0
167,177,1
167,186,0
167,190,1
168,171,0
168,175,0
168,179,0
168,186,0
169,174,0
169,181,0
169,187,0
171,179,0
172,182,0
172,183,0
172,191,0
174,187,0
174,197,0
175,186,0
176,182,0
176,184,0
177,190,0
177,192,0
179,183,0
179,186,0
179,193,0
179,203,0
181,187,0
181,201,1
181,212,0
182,184,0
182,191,0
182,196,0
182,199,0
182,205,0
183,191,0
183,193,0
183,196,0
183,204,0
184,188,0
184,199,0
184,200,0
184,211,0
186,190,0
186,202,0
186,203,0
187,197,0
187,212,0
187,213,0
187,223,0
188,197,0
188,200,0
188,206,0
188,207,0
190,192,0
190,202,0
191,196,0
192,202,0
192,210,0
193,203,0
193,204,0
196,204,0
196,205,0
197,207,0
197,213,0
197,220,0
199,205,0
199,211,0
200,206,0
200,211,0
200,219,0
201,212,0
201,218,0
201,226,0
202,203,0
202,210,0
202,214,0
203,204,0
203,214,0
203,217,0
204,205,0
204,217,0
204,221,0
205,211,0
205,216,0
205,221,0
206,207,0
206,219,0
206,224,0
207,220,0
207,222,0
210,214,1
210,225,0
210,227,0
211,216,0
211,219,0
212,223,0
212,226,0
212,236,0
213,220,0
213,223,0
213,235,0
213,240,0
214,217,0
214,225,1
214,231,1
214,234,0
214,237,0
216,219,0
216,221,0
216,232,0
216,239,0
217,221,0
217,230,0
217,237,0
218,226,0
218,228,0
219,224,0
219,239,1
220,222,0
220,224,0
220,235,0
220,238,0
221,230,0
221,232,0
221,241,0
222,224,0
223,236,0
223,240,0
224,238,0
224,239,0
224,244,0
225,227,0
225,231,0
225,242,0
226,228,0
226,236,0
226,252,0
226,262,0
226,264,0
227,242,0
227,246,0
228,249,1
228,252,1
230,237,0
230,241,0
230,250,0
230,258,0
230,260,1
231,234,1
231,242,0
231,247,0
232,239,0
232,241,0
232,245,0
232,250,0
232,257,0
234,237,1
234,247,0
234,254,0
234,261,0
235,238,0
235,240,0
235,244,0
236,240,0
236,256,1
236,264,0
236,266,0
237,254,1
237,260,0
238,244,1
239,244,0
239,245,1
239,253,0
239,255,0
239,259,0
240,244,0
240,256,0
241,250,0
242,246,0
242,247,1
244,256,0
244,259,0
244,269,0
244,271,0
245,255,0
245,257,0
246,247,0
246,268,0
247,261,0
247,268,0
249,252,0
249,272,0
249,274,0
250,257,1
250,258,0
250,270,1
252,262,0
252,274,1
252,288,0
253,255,0
253,259,0
253,279,0
254,260,1
254,261,0
254,275,0
254,277,0
255,257,0
255,279,0
255,281,0
255,283,0
256,266,0
256,273,0
257,270,0
257,283,0
257,285,0
257,289,0
258,260,0
258,270,0
258,275,0
258,284,0
259,269,0
259,279,0
259,286,0
260,275,0
261,268,0
261,277,0
261,280,0
262,264,0
262,288,0
264,266,0
264,288,0
264,290,0
264,298,0
266,273,0
266,290,0
269,271,0
269,286,0
270,284,0
270,289,0
270,291,1
271,273,0
271,286,0
271,293,0
272,274,0
272,299,1
273,290,0
273,293,0
274,288,1
274,299,0
274,319,0
274,322,0
275,277,1
275,284,1
275,296,0
275,302,0
277,280,0
277,295,1
277,296,0
279,281,0
279,286,0
279,300,0
279,301,0
280,295,0
281,283,0
281,285,0
281,300,0
281,309,0
283,285,1
284,291,0
285,289,0
285,309,0
286,293,0
286,301,0
286,327,0
288,298,0
288,317,0
288,322,0
289,291,0
289,309,0
289,318,0
290,293,0
290,298,0
290,310,0
290,313,0
290,326,0
291,302,0
291,305,0
291,318,0
291,320,0
293,310,0
293,327,0
293,328,0
295,296,0
295,321,1
295,323,0
296,302,0
296,315,0
296,321,0
298,317,0
299,314,0
299,319,0
299,324,0
300,301,0
300,309,0
300,316,0
301,316,0
301,327,0
301,332,0
302,305,0
302,315,0
302,325,0
305,320,0
305,325,0
309,316,0
309,318,0
309,333,0
310,326,0
310,328,0
310,336,0
310,355,0
313,317,1
313,326,0
313,343,0
314,324,0
314,342,0
315,321,0
315,325,0
315,334,0
316,332,0
316,333,0
316,340,0
317,322,0
317,348,0
318,320,1
318,333,0
318,341,0
318,356,0
319,322,0
319,324,0
319,331,0
319,350,0
320,325,0
320,334,0
320,356,0
321,323,0
321,334,1
321,345,0
322,350,1
322,358,0
323,345,0
324,331,1
324,342,0
324,354,0
325,334,0
326,343,0
326,355,0
327,328,0
327,332,0
327,337,0
327,352,0
328,336,0
328,352,0
328,355,0
328,372,0
328,373,0
331,350,0
331,354,0
331,362,0
332,337,0
332,340,0
332,349,0
333,340,0
333,341,0
333,353,0
334,345,0
334,356,0
334,368,0
334,370,0
336,355,0
337,349,0
337,352,0
337,363,0
337,367,0
340,349,0
340,353,1
340,375,0
341,353,0
341,356,0
341,365,0
341,366,0
342,344,0
342,354,0
342,357,0
342,362,0
342,374,0
343,348,0
343,355,0
343,376,0
344,357,1
344,383,0
345,368,0
348,358,0
348,376,0
348,381,0
349,367,0
349,375,0
349,390,0
350,358,0
350,362,0
350,385,0
352,363,0
352,373,0
353,366,0
353,375,0
354,362,0
355,372,0
355,376,0
355,378,0
355,386,0
356,365,0
356,368,0
356,370,1
356,388,0
357,374,0
357,383,0
357,387,0
358,381,1
358,385,0
358,394,1
362,374,0
362,379,0
362,385,0
363,367,0
363,373,0
365,366,0
365,388,1
365,405,0
365,414,0
366,375,0
366,401,0
366,405,0
367,373,0
367,390,0
368,370,0
372,373,0
372,386,0
372,395,0
373,390,0
373,395,0
373,418,0
374,379,0
374,387,0
374,404,0
374,406,0
374,411,0
375,390,0
375,401,0
376,378,0
376,381,0
376,386,0
376,410,1
378,386,0
379,385,0
379,411,0
381,394,0
381,410,0
381,413,1
383,387,0
383,404,0
385,394,0
385,411,0
385,417,0
386,395,0
386,410,0
386,412,0
387,404,0
388,414,0
390,401,0
390,418,0
390,421,0
390,432,1
394,413,0
394,417,0
395,412,0
395,416,0
395,418,1
401,405,1
401,421,0
404,406,0
404,425,1
405,414,1
405,421,0
406,411,0
406,425,0
410,412,0
410,413,0
410,424,0
411,417,0
411,425,0
412,416,1
412,424,0
412,439,0
412,448,0
412,449,0
413,417,0
413,424,0
413,426,0
416,418,0
416,441,0
416,448,1
417,425,0
417,426,0
417,440,0
417,454,0
418,432,0
418,441,0
424,426,0
424,439,0
424,447,1
424,452,0
425,440,0
426,447,0
426,454,0
432,441,1
439,449,0
439,452,0
440,454,0
441,448,0
441,467,0
447,452,0
447,454,0
448,449,0
448,467,0
448,472,0
449,452,0
449,472,0
452,472,0
