,time,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,mean,std,upper,lower
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.004689331770222743,0.02320617394163628,0.011121755010356765,-0.0017430914699112779
2,2,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.009378663540445486,0.032127493038437246,0.018283950270926497,0.00047337680996447674
3,3,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.01406799531066823,0.03848308589206519,0.024734962500811582,0.0034010281205248787
4,4,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.016412661195779603,0.04109142236270405,0.027802622369076886,0.005022700022482321
5,5,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.016412661195779603,0.04109142236270405,0.027802622369076886,0.005022700022482321
6,6,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.018757327080890975,0.04341477607374214,0.030791289046542884,0.006723365115239067
7,7,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.018757327080890975,0.04341477607374214,0.030791289046542884,0.006723365115239067
8,8,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.23446658851113716,0.0,0.025791324736225092,0.054474814829310325,0.04089097303634233,0.010691676436107855
9,9,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.030480656506447833,0.05708946759021709,0.04630504957605771,0.014656263436837957
