,p,mse_p
0,0.0002,263.58
1,0.00021,251.55
2,0.00022,237.82
3,0.00023,136.17
4,0.00024000000000000003,188.62
5,0.00025,172.67
6,0.00026000000000000003,123.21
7,0.00027,86.01
8,0.00028000000000000003,84.44
9,0.00029,44.32
10,0.00030000000000000003,88.65
11,0.00031,58.15
12,0.00032,100.67
13,0.00033000000000000005,167.65
14,0.00034,203.87
15,0.00035000000000000005,370.78
16,0.00036,400.31
17,0.00037000000000000005,555.31
18,0.00038,550.31
19,0.00039000000000000005,710.56
20,0.0004,600.31
21,0.00041000000000000005,809.33
22,0.00042,732.34
23,0.00043000000000000004,803.93
24,0.00044,810.54
25,0.00045000000000000004,804.69
26,0.00046,806.56
27,0.00047000000000000004,804.86
28,0.00048000000000000007,820.45
29,0.0004900000000000001,856.03
30,0.0005,903.1
