Cell, Cell, Area (µm²)
3092,3442,20.7808
3092,3636,0.155836
3092,3287,27.3817
3092,3200,19.9664
3092,3198,14.9476
3092,3170,2.92789
3092,3168,15.2487
3092,3520,0.367864
1944,2392,16.674
1944,2161,11.2664
1944,2077,16.6819
4553,4686,5.80662
4553,4727,5.91105
4553,4633,4.96399
4553,4680,4.40986
1942,2446,12.9092
1942,2341,43.1809
1942,2204,27.2009
1942,2161,23.9613
1942,2111,19.6527
1942,2035,12.3364
1940,2318,11.9078
1940,2226,4.39034
1940,2189,12.8697
1940,2089,53.8026
1940,2655,0.0422334
1940,2031,2.78145
1940,1984,53.9791
3083,3374,4.94968
3083,3699,13.1389
3083,3352,7.84095
3083,3332,7.52032
3083,3669,19.8406
3083,3198,0.10433
3083,3518,14.2808
1146,1672,17.586
1146,1655,23.6387
1146,1639,30.7435
1146,1653,18.513
1146,1578,4.26362
1146,1443,0.0734839
1146,1221,17.3089
1146,1998,0.771971
1145,1595,4.76324
1145,1486,62.2472
1145,1266,11.224
1145,1232,5.5338
1145,1171,8.62428
1144,1693,2.59601
1144,1691,21.9594
1144,1670,66.5218
1144,1529,11.9779
1144,1458,19.3857
1144,1402,29.0479
1144,1314,67.1697
3082,3738,5.76714
3082,3146,13.4963
3082,3492,16.2359
1937,2289,13.0164
1937,2288,5.01279
1937,2238,40.9322
1937,2062,0.0831729
1937,1966,20.1653
1936,1937,10.1136
1936,2512,27.0812
1936,2354,5.04127
1936,2288,19.7032
1936,2238,9.12147
1936,2601,1.73972
3081,3797,20.0933
3081,4173,0.063495
3081,3391,4.52052
3081,3351,6.66337
3081,3347,48.8847
3081,3679,7.05259
3081,3666,5.96256
3081,4047,8.99096
3081,3517,31.0564
4629,4763,14.383
4629,4870,8.99035
4629,4683,10.1349
1138,1144,19.9111
1138,1691,47.3757
1138,1472,69.2933
1138,1402,12.6516
1138,1314,5.70369
3485,3777,7.98297
3485,3760,35.6873
3485,3715,24.8129
3485,3821,19.564
4627,4680,6.05897
4627,4628,17.5906
4626,4627,1.15991
2558,3010,13.2598
2558,2809,15.4146
2558,2808,5.27633
2558,3200,0.0383802
2558,2679,18.7158
2556,3478,0.0832706
2556,2962,28.1037
2556,2940,15.0762
2556,2937,6.03537
2556,2936,35.629
2556,3355,1.28677
2556,2767,38.2447
2556,2752,17.405
2556,3232,1.58682
2556,2638,9.36226
1132,1827,0.515506
1132,1588,24.2315
1132,1430,19.4494
1132,1409,11.4994
1132,1385,38.0962
1132,1258,7.1251
1132,1244,12.2713
1132,1224,18.047
1132,1175,26.7628
4203,5296,6.59761
4203,5289,19.0053
4203,5285,10.3533
4203,4605,58.7933
4203,4412,0.0691831
4203,4567,5.99997
4203,4224,20.0865
4203,4635,2.16446
4203,4461,10.415
1130,1847,20.6521
1130,1780,26.9033
1130,1638,16.496
1130,1529,30.6384
1130,1473,60.1627
1130,1254,3.02377
1130,1242,62.1638
1130,1220,12.8711
1129,1502,42.2878
1129,1442,25.5846
1129,1290,0.0190918
1129,1289,33.6365
1129,1275,14.1588
3478,3682,29.25
3478,3625,46.1775
3478,3877,23.1587
3478,4237,22.5558
3478,3851,20.0424
1927,2494,23.6057
1927,2253,2.74932
1927,2175,27.6327
1927,2023,28.5324
3068,3463,27.049
3068,3783,0.126897
3068,3455,25.362
3068,3605,0.212673
3068,3232,5.71179
3068,3195,16.503
2552,3081,7.50644
2552,2936,29.3036
2552,2933,30.4467
2552,2874,25.6496
2552,2860,5.18969
2552,2733,1.02944
2552,2638,22.0282
2551,3081,3.16563
2551,2984,32.2181
2551,2937,0.226557
2551,2933,9.61288
2551,3371,1.55976
2551,2898,34.186
2551,3347,24.9523
2551,3325,10.8515
2551,2851,14.904
2551,2807,5.6195
2551,2733,32.6867
2551,3197,20.2232
2551,2635,15.3833
2550,2983,28.5295
2550,2763,19.5669
2550,2608,3.84683
2550,2583,10.6292
3067,3392,36.0464
3067,3699,2.82201
3067,3652,11.6347
3067,3568,10.7314
3067,3116,25.2342
3067,3115,20.5679
3066,3067,27.2499
3066,3475,0.515241
3066,3452,36.5734
3066,3652,1.45976
3066,3568,6.40702
