label, neighbor, wall area
3,430,9.94797
3,587,18.1257
3,683,5.94393
3,855,5.44325
4,47,10.2701
4,146,3.11194
4,731,12.0388
4,796,24.3759
4,827,19.7124
4,931,13.6082
9,92,4.53776
9,111,11.0649
9,246,20.5425
9,550,8.34788
9,728,10.2168
9,777,1.52261
9,969,5.68145
9,1376,10.5977
13,285,27.0796
13,948,9.96471
13,1400,8.59053
13,1632,20.1274
17,324,0.0169973
17,1387,11.6412
17,1483,26.8911
17,1503,4.34893
17,1512,21.1443
17,1546,14.1005
20,78,11.3534
20,230,10.2961
20,404,9.45436
20,829,7.7393
20,982,22.1487
20,1036,8.69054
30,404,24.046
30,567,7.62991
30,755,8.47545
30,829,4.20632
30,1340,15.8539
30,1354,3.05615
30,1558,4.13633
41,219,8.54338
41,969,16.3278
41,1116,10.829
41,1435,11.3863
41,1516,9.13372
41,1563,4.85778
46,235,26.1792
46,402,12.7426
46,645,4.88188
46,1064,15.0064
46,1156,4.71251
46,1505,1.56894
47,4,10.2701
47,473,5.37016
47,691,3.9164
47,731,10.6839
47,796,14.412
47,838,12.2833
47,1204,9.22431
47,1408,8.97941
51,326,17.3041
51,572,13.5165
51,612,9.67803
51,1045,10.5967
51,1147,6.55361
51,1566,12.7573
62,473,5.71604
62,489,14.1851
62,1132,16.7368
62,1408,6.12047
72,156,14.1144
72,434,9.78666
72,1222,2.01525
72,1340,13.1167
72,1354,3.10122
72,1457,3.70502
72,1556,15.1719
78,20,11.3534
78,230,11.6918
78,348,10.3798
78,964,21.5234
78,982,9.53816
78,1261,11.356
83,477,19.3855
83,1460,6.63057
87,362,6.97985
87,588,7.6537
87,613,25.1758
87,1106,19.7278
87,1203,3.39044
87,1350,12.8159
87,1581,14.9888
92,9,4.53776
92,328,6.09459
92,539,20.7742
92,550,6.13373
92,728,21.4822
92,891,5.29877
92,1610,4.1462
96,216,8.2154
96,653,13.7676
96,1161,18.6023
96,1459,8.93439
96,1505,4.9306
111,9,11.0649
111,570,23.5313
111,777,12.5598
111,969,12.8434
111,1435,5.19186
115,373,3.5061
115,573,10.8935
115,1095,8.91411
115,1115,14.624
115,1462,10.4622
115,1577,6.4237
132,188,5.36215
132,718,5.86976
132,911,13.4613
132,972,18.9713
132,1051,14.4554
132,1510,5.75494
140,251,9.27669
140,613,3.92095
140,946,26.2963
140,1017,6.92639
140,1084,8.09942
140,1203,17.1635
140,1643,14.5231
141,536,11.487
141,539,12.2277
141,612,2.84658
141,1045,19.5232
141,1104,6.74999
143,219,22.2993
143,222,10.7921
143,443,9.96908
143,477,13.0234
143,1385,6.15018
143,1460,14.4716
146,4,3.11194
146,344,6.22311
146,796,14.756
146,931,8.80481
146,955,18.765
146,1298,16.0811
154,230,11.2919
154,237,14.061
154,348,13.1195
154,1235,24.4099
154,1255,16.1633
154,1558,5.84695
155,207,19.4133
155,460,14.9872
155,999,10.0191
155,1006,7.26173
155,1503,7.26327
156,72,14.1144
156,434,8.2248
156,514,15.9214
156,905,10.7742
156,1222,17.8554
156,1412,15.2059
175,800,11.4972
175,1222,15.0002
175,1412,2.91571
175,1556,5.77187
187,344,12.8525
187,678,13.0044
187,955,10.9603
187,989,12.284
187,1166,3.72918
187,1210,27.821
187,1267,13.7875
188,132,5.36215
188,329,12.0903
188,972,17.9677
188,1029,8.45775
188,1051,10.1964
188,1140,16.8756
192,627,22.2176
192,919,4.98629
192,1095,12.3876
192,1301,15.9428
192,1311,19.248
192,1607,25.7504
200,310,18.3961
200,913,9.16492
200,964,5.80601
200,1266,19.3262
200,1480,23.5885
202,276,7.45977
202,333,8.58258
202,426,13.5495
202,501,18.9592
202,1512,28.052
202,1546,1.49104
207,155,19.4133
207,391,10.045
207,460,7.22684
207,650,17.7806
207,1006,10.5193
207,1224,16.0354
207,1301,8.48058
216,96,8.2154
216,1332,11.5604
216,1459,10.5288
216,1505,12.5215
216,1649,17.6802
216,1652,4.16844
219,41,8.54338
219,143,22.2993
219,443,9.27766
219,1116,7.91833
219,1385,5.82092
219,1516,8.85505
220,607,10.4677
220,698,8.33428
220,750,15.4736
220,909,11.1442
220,1367,4.87919
