,time,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,mean,std,upper,lower
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023446658851113715,0.016579291469790088,0.006940211019929659,-0.0022508792497069156
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009378663540445486,0.039914169445027535,0.020442306853408566,-0.0016849797725175964
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01406799531066823,0.045187531613572425,0.02659334004205134,0.0015426505792851177
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021101992966002348,0.05129255679488713,0.035319564341754185,0.006884421590250508
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.023446658851113716,0.052960603921761475,0.03812658930128818,0.008766728400939255
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.02579132473622509,0.05447481482931034,0.04089097303634233,0.010691676436107848
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.030480656506447823,0.06619016193391224,0.04882763334815939,0.012133679664736254
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.030480656506447823,0.06619016193391224,0.04882763334815939,0.012133679664736254
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.03516998827667057,0.07203420923666579,0.055136852385504115,0.01520312416783702
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.23446658851113716,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.03985932004689331,0.08070195145306823,0.06222875972085454,0.01748988037293209
12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.3516998827667057,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.05627198124267291,0.09544670473136829,0.08272845800839748,0.029815504476948335
13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.06330597889800701,0.09535850507778769,0.08973800796705869,0.03687394982895534
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.0,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.06565064478311838,0.09521132409011485,0.09204187736378754,0.03925941220244923
